Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
2015,The Vatican Tapes,American,Mark Neveldine,"Kathleen Robertson
Michael Peña
Djimon Hounsou
Dougray Scott",horror,https://en.wikipedia.org/wiki/The_Vatican_Tapes,"In the Vatican, Vicar Imani (Djimon Hounsou) shows Cardinal Bruun (Peter Andersson) the case of Angela Holmes (Olivia Taylor Dudley), a young American woman who is suspected of harboring an evil spirit.
Three months earlier in the United States, Angela is given a surprise birthday party by her father, Roger (Dougray Scott), and boyfriend, Peter ""Pete"" Smith (John Patrick Amedori). While slicing her cake, she cuts herself and is rushed to the hospital, where she briefly meets with Father Lozano (Michael Peña). She is injected with a serum that causes an infection; at home, she experiences a seizure and is placed under care at a hospital. A few days later, Angela is released, but on the way, she violently takes the wheel, causing an accident that puts her in a coma for 40 days. Just as her life support is about to be switched off, Angela comes round, seemingly in perfect health.
However, Angela begins to show symptoms of demonic possession when she almost drowns a baby, followed by forcing a detective (Jarvis W. George) to commit suicide. Lozano chooses to send her to a psychiatric hospital. A distraught Roger then confesses that Angela's mother was a prostitute; she was pregnant just a few months after Roger met her before she abruptly left, implying that Roger merely adopted Angela. Angela's possession becomes even worse as she frequently sleepwalks, taunts her psychiatrist, Dr. Richards (Kathleen Robertson), eventually culminating in her speaking in Aramaic that induces hysteria and mass suicide in her fellow patients. Deciding that nothing can save her, the hospital releases her.
The movie returns to the timeframe of the prologue. Bruun concludes that Angela is possessed by the Antichrist due to the presence of the crows around her, which are agents of Satan, and instructs Imani to stay back while he personally heads to the United States to cure Angela. An exorcism he plans involves a Eucharist, where Angela reacts by vomiting blood and spitting three eggs, meant to symbolize a perverted Trinity. Bruun also comments that her birth from a prostitute perverts the virgin birth of Jesus Christ. Bruun then realizes that the Antichrist is already a part of Angela; killing him would mean Angela's death as well. However, just after Bruun kills Angela, she rises up as the resurrected Antichrist, mirroring the Resurrection of Jesus, and proceeds to kill Bruun, Roger, and Pete. She spares Lozano, though, and tells him to inform the Vatican that the Antichrist is roaming the Earth.
Three months later, Lozano, having been released from the hospital, visits the Vatican and is allowed access to the archives by Imani. He is shown footage of what has happened since: Angela returns as the only ""survivor"" of the exorcism besides Lozano and is now performing miracles to gather followers. The film ends with Angela entering a large room to greet her followers by stretching out her arms."
2003,Pieces of April,American,Peter Hedges,"Katie Holmes, Derek Luke, Oliver Platt, Patricia Clarkson",comedy-drama,https://en.wikipedia.org/wiki/Pieces_of_April,"April Burns, the eldest daughter in a highly dysfunctional family, lives in a small tenement apartment on the Lower East Side of Manhattan with her boyfriend Bobby. Although estranged from her family, she opts to invite them for Thanksgiving dinner, probably the last for her mother Joy, who has breast cancer.
The film focuses on three journeys: the family's arduous trek from suburbia to New York City; April's preparations for the meal, made much more difficult when she discovers her oven is broken; and Bobby's efforts to find a suit so he can make a good impression on his girlfriend's relatives. During the family's journey, we learn about Joy and April's relationship - and, in a crucial moment, we see an insight Joy gains about her relationship with her daughter. During April's journey, she meets many of her neighbors and establishes city-family relationships with them, as we see during the final meal. Bobby's journey ends with a return to the gathering that is an exact capture of White America's stereotypes of black men.
All these journeys tie together in the final scenes of reconciliation and hope for the future."
2002,Chat Room,American,Barry Bowles,"Brian Hooks, Christopher Richards",comedy,https://en.wikipedia.org/wiki/Chat_Room_(film),"Most people want to have a good-looking date for their high school reunion, but four guys with more at stake than just pride scramble to find the right girl for the occasion in this comedy. Max (Hooks), Drew (Darryl Brunson), and Jelly Roll (Christopher Richards) have been close friends since high school. Shortly after graduation, they made a bet — each man threw 50 dollars into a pot, and it was decided whoever brought the best-looking woman to their ten-year high school reunion would get all the money. Ten years down the line, the guys discover that after ten years of smart investing, the two hundred bucks has become a whopping 50,000 dollars, but as their reunion looms on the horizon, none of them has a girlfriend, or even a steady date. With that much money at stake, all three men (as well as J-Ron, their arrogant teammate from the high school football team, and the fourth person in on the bet) are eager to find a sexy woman with an evening to spare. The three of them end up searching for the perfect girl on the internet, visiting chat rooms in search of an available knockout. It isn't long before they realize that truth in advertising isn't all that common in the online dating game."
2003,101 Dalmatians II: Patch's London Adventure,American,Jim Kammerud,"Barry Bostwick, Jason Alexander, Martin Short",animated,https://en.wikipedia.org/wiki/101_Dalmatians_II:_Patch%27s_London_Adventure,"The Radcliffe family and their 101 Dalmatians are preparing to move to their ""Dalmatian Plantation"", a home in the countryside with plenty of room for all of them. However, Patch, one of the puppies, feels ignored and wishes to be unique like his television hero, Thunderbolt. While watching The Thunderbolt Adventure Hour, he hears about a chance to appear on the show alongside Thunderbolt. Later, he is accidentally left behind when his family leaves for the plantation. Patch then decides to head for the audition event nearby to meet his hero and win a guest spot on the show. He fails to impress Thunderbolt and the producers, however; dejected by this, he leaves.
Meanwhile, Lil' Lightning, Thunderbolt's sidekick on the show who is jealous of his success, manipulates Thunderbolt into believing the audition event is actually a cover for the producers to find a dog they could replace him with. After Thunderbolt leaves to prove he is actually a hero and not just an actor, Lil' Lightning tricks the producers into making himself the hero of his own show. Thunderbolt eventually runs into Patch and realizes he is extremely knowledgeable about his heroic feats on the show. As a result, he appoints him as an advisor for when he tries to commit heroic acts in real life, though he unknowingly does more harm than good every time. All the while, Patch continues to believe Thunderbolt's escapades on the show are all real.
Elsewhere in London, Cruella de Vil is under probation and a restraining order for her past behavior, which no longer allows to maintain her old lifestyle. Despondent from this, she attempts to soothe her fixation on spots with the help of Lars, a French beatnik artist. In order to inspire him, she restarts her hunt for the Dalmatians, using a newspaper picture of Patch to find their new address. As Patch's family realizes he is missing and goes back to London to find him, Cruella bails out her former henchmen, Jasper and Horace, and sends them in a stolen dog food truck to steal the remaining puppies. They succeed after dealing with Nanny, and they take them to Lars. When Cruella requests making a new canvas out of their fur, Lars angrily refuses, not wanting them to be harmed. Angered, she has him bound and gagged, and returns to her original plan of making a Dalmatian fur coat.
The captured puppies use the Twilight Bark to send a distress signal, which is picked up by Patch and Thunderbolt, and they set out to save Patch's family. On the way, they encounter Lil' Lightning, who has learned about Thunderbolt's recent escapades. He follows them and convinces Thunderbolt not to use Patch's stealth plan, but to openly attack. As a result, Cruella knocks Thunderbolt unconscious and he and Patch are captured. Lil' Lightning sneaks into the building, reveals that Thunderbolt is a fraud, and tells him that there was never any recasting plan before fleeing.
Crushed by this revelation, and Thunderbolt telling him that he is really an actor, Patch falls into despair, but his siblings restore his spirit by reminding him that Thunderbolt escaped a similar predicament in an episode on his show. Patch breaks out and releases his family, but Thunderbolt remains behind out of shame. The Dalmatians escape through the building's roof, while Thunderbolt eventually decides to escape from his cage and free Lars. The puppies steal a double-decker bus, but Cruella, Jasper, and Horace discover the escape and pursue them in their stolen truck. A chase ensues through the streets of London; it crashes through the set of Lil' Lightning's new show in the process, and he is flown into the windshield.
Cruella, Jasper, and Horace corner the puppies in an alley. Patch tries to hold them off while the others escape, but they are undaunted. Thunderbolt arrives, having been driven to the scene by Lars, and fakes a heart attack. In the process, he gains Lil' Lightning's sympathy and makes Cruella, in her distraction, knock out Jasper and Horace and then incapacitate herself. Patch retreats back to the bus and puts it in reverse, sending Cruella, Jasper, Horace, and Lil' Lightning scrambling into the River Thames, along with their stolen truck. The police arrest Lil' Lightning, Jasper, and Horace while Cruella, now driven completely insane, is sent to a mental institute. Patch's parents, the Radcliffes, and Nanny all arrive and are introduced to Thunderbolt. They thank him, but he gives all of the credit to Patch.
In a post-credits scene, Patch stars as Thunderbolt's new sidekick in his show, while the other puppies are extras. The group chases the villain away into the sunset."
2003,21 Grams,American,Alejandro González Iñárritu,"Sean Penn, Naomi Watts, Benicio del Toro",crime drama,https://en.wikipedia.org/wiki/21_Grams,"The story is told in a non-linear manner. The following is a chronological summary of the plot:
Jack Jordan is a former convict who is using his new-found religious faith to recover from drug addiction and alcoholism. Paul Rivers is a mathematics professor with a dedicated wife, Mary Rivers, and a fatal heart condition. Unless he receives a new heart from an organ donor, he will not live longer than one month. Paul's wife wants him to donate his sperm so she can have his baby even if he dies. Cristina Peck is a recovering drug addict and now lives a normal suburban life with a supportive husband and two children. She is a loving mother and active swimmer who has left her days of drugs and booze behind. These three separate stories/characters become tied together one evening when Jack kills Cristina's husband and children in a hit-and-run accident. Her husband's heart is donated to Paul, who begins his recovery.
Cristina is devastated by the loss and returns to drugs and alcohol. Paul is eager to begin normal life again, but he hesitantly agrees to his wife's idea of surgery and artificial insemination as a last-ditch effort to get pregnant. During consultations with a doctor before the surgery, Paul learns that his wife had undergone an abortion after they had separated in the past. Angered, Paul ends the relationship. He becomes very inquisitive about whose heart he has. He learns from a private detective that the heart belonged to Cristina's husband and begins to follow the widowed Cristina around town.
Jack is stricken with guilt following the accident and starts using drugs again. Despite his wife's protests to keep quiet and conceal his guilt, Jack tells her that his ""duty is to God"" and turns himself in. While incarcerated, he claims that God had betrayed him, loses his will to live and tries unsuccessfully to commit suicide. He is released after Cristina declines to press charges, as she realizes that putting Jack in prison will not bring her family back. When Jack is released, he is unable to reincorporate himself into normal family life, and instead leaves home to live as a transient, working in manual labor.
Paul finds an opportunity to meet Cristina and eventually reveals how the two of them are connected. She is initially furious and forces him out, but quickly reconsiders. Desperately needing one another, they continue their relationship. Though Paul has a new heart, his body is rejecting the transplant and his outlook is grim. As Cristina begins to dwell more on her changed life and the death of her girls, she becomes obsessed with exacting revenge on Jack. She goads Paul into agreeing to murder him.
Paul meets with the private detective who originally found Cristina for him. He tells Paul that Jack is living in a motel and sells Paul a gun. Paul and Cristina check into the motel where Jack is staying. When Jack is walking alone, Paul grabs him and leads him out into a clearing at gunpoint with the intention of killing him. However, Paul is unable to kill Jack, who himself is confused, shaking and pleading during the event. Paul tells Jack to ""just disappear,"" then returns to the motel, lying to Cristina about Jack's death. Later that night, while they are sleeping, Paul and Cristina are awakened by a noise outside their door. It's Jack, who, still consumed by guilt, orders Paul to kill him and end his misery. There is a struggle, and Cristina blind-sides Jack and begins to beat him with a wooden lamp. Paul collapses, gets hold of the gun, and shoots himself.
Jack and Cristina rush Paul to the hospital. Jack tells the police that he was the one who shot Paul, but is released when his story cannot be confirmed. Paul dies, and the conflict between Cristina and Jack remains unresolved (they meet in the waiting room after Paul's death; if they converse, it is not shown). When she offers to donate blood for Paul in the hospital, Cristina learns that she is pregnant. After Paul's death, Cristina is seen tentatively preparing for the new child in one of her daughter's bedrooms, which she had previously been unable to enter after her daughter's death. Jack is shown returning to his family."
2009,Drag Me to Hell,American,Sam Raimi,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao, David Paymer, Adriana Barraza",horror,https://en.wikipedia.org/wiki/Drag_Me_to_Hell,"In 1969, Pasadena, California, a couple seeks the aid of the medium Shaun San Dena, saying their son has been hearing evil spirits' voices after stealing a silver necklace from a “gypsy wagon”. San Dena aids the family by carrying out a seance, but they were attacked by an unseen force (revealed later to be Lamia) that pulls the boy into Hell. The medium says she will encounter the force again one day.
In present-day Los Angeles, bank loan officer Christine Brown hopes to be promoted to assistant manager over her co-worker Stu Rubin. Her boss, Jim Jacks, advises her to demonstrate that she can make tough decisions to get a promotion. Christine is visited by an elderly woman, Sylvia Ganush, who asks for a third extension on her mortgage payment. Despite knowing Ganush is on a fixed income, and that she suffers from medical ailments, Christine denies Ganush an extension to prove herself to her boss. Ganush begs Christine not to repossess her house and kneels in front of her. Christine becomes frightened of the woman's persistence, desperate pleading as she is helping her to stand up and calls security, who take Ganush away while Ganush blames Christine for ""shaming"" her and vows to take revenge. Jim compliments Christine on how she handled the situation, and embellishes his positive statements, alluding to a promotion.
When Christine leaves work and gets to the parking garage to drive home, Ganush, hiding in the backseat, attacks Christine in her car. Despite sustaining what should be fatal injuries, Ganush rips a button off Christine's coat and uses it to place a curse on Christine. Later, Christine and her boyfriend Clay Dalton meet fortune teller Rham Jas, who tells Christine that she is being haunted by a dark spirit, likely the result of a curse. At home, Christine is attacked by the entity and has repulsive nightmares about Ganush. At work the next day, after hallucinating flies buzzing in her stomach and Ganush’s hands in place of Stu’s, Christine snaps at Stu and has a projectile nose bleed that soaks her boss in blood. She runs out of the office, and in the occurring panic, Stu steals a file from Christine's desk.
Christine goes to talk to Ganush for forgiveness in efforts to lift the curse. Ganush’s granddaughter answers the door, skeptical of Christine’s remorse, and Christine finds that Ganush cannot lift the curse, seeing as Ganush has died, and her granddaughter was hosting the funeral/viewing for her in the basement.
Christine returns to Rham Jas, who explains that as long as Christine is the owner of an accursed object, she will be haunted by a powerful demon called the Lamia (loosely based on the Greek Lamia, a child eating demon), that will torment her for three days before taking her to Hell for eternity. He suggests a sacrifice to appease the demon. Desperate to stop the attacks, Christine reluctantly sacrifices her pet kitten. At a dinner party, she meets Clay’s parents for the first time,. She is again tormented by the Lamia, plagued with grotesque hallucinations like bugs appearing in a cake she bought for the night, and auditory illusions which cause her to scream abruptly and frighten Clay and his parents.
Christine returns to Rham Jas who says that Shaun San Dena will risk her life to stop the demon for a fee of $10,000. San Dena prepares a seance to trap the Lamia's spirit in a goat and kill it, and then allows the Lamia to inhabit her body. Rham Jas tries to persuade it not to steal Christine's soul, but it vows never to stop until Christine dies. Christine then places San Dena's hand on the goat, causing the spirit to enter its body. San Dena's assistant, Milos, attempts to kill the goat, but is bitten by the goat and becomes possessed and attacks the members of the seance. San Dena banishes the Lamia from the seance, but dies in the process. Christine thinks the medium has overcome the Lamia, but Rham Jas explains that she only managed to drive the spirit away until the next day. Then, he seals the cursed button in an envelope and tells Christine that she can get rid of the curse by giving the button to someone as a gift, thereby passing the curse on to that person.
Christine decides to give the envelope to Stu in revenge for his stealing her work, but changes her mind after seeing how pathetic Stu is when he meets up with her. With guidance from Rham Jas, Christine learns that she can give it back to Ganush even though she is dead. Christine digs up Ganush's grave, and after struggling momentarily with the corpse, Christine “formally” gives back the button, and callously jams the envelope in Ganush’s mouth just in time before dawn, seemingly ending the curse.
Christine returns home and prepares to meet Clay at Los Angeles Union Station for a weekend trip. She gets a message from her boss telling her that she landed her dream position after Stu confessed to stealing her work and was fired. At the station, Christine buys a coat that she has been wanting as a sign of a new beginning. Clay, planning to propose, reveals to Christine that he found the envelope containing the cursed button in his car; Christine then realizes she mixed up her envelope with another that she gave to Clay when she accidentally dropped it and that the curse was never lifted. Horrified, Christine backs away and falls onto the tracks. As Clay looks on, unable to reach Christine, a train barrels towards her, while fiery hands suddenly emerge from the tracks and drag Christine into what looks like the pits of Hell. Clay, holding the button in his hand at the edge of the train platform, with tears rolling down his face, stares at the tracks in utter disbelief and horror."
2014,Alien Abduction,American,Matty Beckerman,"Katherine Sigismund
Corey Eid
Riley Polanski
Jeff Bowser",horror,https://en.wikipedia.org/wiki/Alien_Abduction_(2014_film),"The film begins with a dim, out-of-focus corridor with machinery sounds and screams, an opening disposal chute, and the camera falling back to Earth where it is later recovered by the U.S. Air Force. Information on-screen then reveals the recording is being used to review the footage for Project Blue Book.
Riley Morris keeps a video journal while on a family camping trip in Brown Mountain, North Carolina. On the last night of their trip, Riley is startled by flashes of light outside of the tent he shares with his older teenage brother and sister, Corey (Corey Eid) and Jillian (Jillian Clare). Riley wakes them and urges them to investigate. The siblings spot three distinct star-like objects in the sky which maneuver abruptly and vanish.
The following morning, while driving down the mountain en route to the highway, Riley's father, Peter (Peter Holden) is sidetracked when their GPS mysteriously misdirects them to an isolated route. Riley's mother, Katie (Katherine Sigismund), senses something is wrong when they lose their cellphone signals. The family starts to panic when Peter announces the car is running low on gas. A crow unexpectedly falls besides the car, dead.
They reach a tunnel thinking it will lead to the highway but see it is blocked with recently abandoned vehicles - including a police car. Peter, Corey and Riley leave their car to investigate the tunnel while Katie stays behind with Jillian. Personal belongings are scattered around some of the cars and it appears the missing occupants were forcefully removed from their vehicles, which troubles Riley. Peter—who is further ahead—sees a silhouette at the end of the tunnel and calls out. Upon realizing the non-human nature of the Alien approaching figure, Peter instructs Corey to escape with Riley while he attempts to create a diversion. Peter becomes the first to be abducted by the Aliens.
The boys return to the car with the women, explaining what happened. Suddenly a bundle of crows fall on their car, resulting in the car dying. They hear a blaring sound and run in fear. They retrace their route back to a cabin they recall passing. The cabin's owner, Sean (Jeff Bowser), is a rustic recluse who is armed and initially hostile towards the family. He changes his mind when he hears his guard dog being attacked by an alien that followed them from the tunnel. Sean and the family barricade themselves for the evening. Sean says that the Brown Mountain Lights and abductions have been a local recurrence for centuries. And, upon hearing a radio message from his missing brother, Sean goes out to fight the Aliens.
The cabin is eventually breached and in an effort to save his family, Corey hides the others in the cellar, blocking the door—he is, however, quickly abducted by the aliens. The remaining members of the family are soon saved by a returned Sean who takes them to his truck, planning to take them back to town down the mountain. His plan is a quick failure as the lights, and thus the aliens, find them and in a last effort attempt at saving the family, he tells them to head to a nearby barn and take refuge.
Sean mysteriously returns to them after a dramatic escape and the group, believing they're safe, attempt to leave the barn—Katie, however, is killed and abducted, along with Sean. Riley and Jillian take refuge deep in the woods for the night, hiding in silence and in the dark from close-by aliens.
Climbing down the mountain at dawn, they see a town in the valley below and soon find a road they are confident will lead back to civilization but it leads back to the tunnel where their father was abducted, instead. Jillian collapses in despair, at the same moment a police car arrives (to search for the prior missing police car). It doesn’t take long for the aliens to abduct the policeman, Jillian, and Riley, who is still clinging to the camera—the remaining footage shows a rapid ascension into orbit, and an in-time repeat of the same footage from the beginning of the film. Two men in respirators and Hazmat suits are seen taking the camera away in a U.S. Air Force van.
In a mid-credits scene, Peter Morris is found one year later by a North Carolina state trooper. He is huddling on a bridge, naked, dishevelled and in a state of shock. The fate of the rest of the family is uncertain, though comments made by the police officer on his radio suggest that Peter is not the only member of the family to have been found."
2015,The Woman in Black 2: Angel of Death,American,Tom Harper,"Phoebe Fox
Jeremy Irvine
Helen McCrory
Adrian Rawlins
Ned Dennehy
",horror,https://en.wikipedia.org/wiki/The_Woman_in_Black_2:_Angel_of_Death,"Forty years after the events of the first film, during the London Blitz, Eve Parkins joins some of her schoolchildren and the school's headmistress, Jean Hogg, to evacuate them to the isolated market town of Crythin Gifford. On the train journey there, Eve meets dashing pilot Harry Burnstow, who is stationed at an airfield near Crythin Gifford. Upon arrival at the apparently nearly deserted town, Eve is confronted by a raving madman, Jacob, and flees.
Although Eve and Jean do not approve of Eel Marsh House, the isolated manor house on an island in the marshes where they have been billeted, there is no alternative. That night, Eve has a nightmare of how she was forced to give up her baby when she was younger; when she awakens, she hears the noise of a rocking chair coming from the cellar. There she finds a message, scolding her for letting her child go, and sees a woman dressed in black. The next morning, one of the children, Edward, who has been mute since the death of his parents in the bombing, is bullied by two other children and sees the Woman in Black in the nursery. Eve feels that something is wrong when Edward starts constantly carrying around a rotting doll. That night, one of the boys who was bullying him is drawn out of the house by the Woman in Black; Eve finds his body on the beach, mangled by barbed wire.
Eve later sees the Woman in the graveyard, where she finds the grave of Nathaniel Drablow. She chases the ghost to the beach and is overcome by visions of Nathaniel's death. At the house, she and Harry establish the story of the ghost through an old recording made by Alice Drablow before her death at the hands of the Woman in Black: it is her sister, Jennet Humfrye, the mother of the child she adopted, Nathaniel. Jennet is haunting them because of Nathaniel's premature death, and is punishing Eve in particular for giving up her baby. Eve journeys into the abandoned town to confront Jacob, who is blind and therefore unable to be killed by the ghost, as he cannot see her. However, he has been driven insane by the deaths of all the other children (whose ghosts surround him) and tries to kill Eve before she escapes.
Back at the house, Jean finds one of the girls trying to strangle herself under the Woman's spell. During an air raid, the girl suffocates herself using a gas mask. After this death, Harry takes them to his airfield, which is revealed to be a decoy. Harry, the only man stationed there, has been disgraced following a crash in which he was the only survivor, and is no longer allowed to fly. Eve realises that the Woman has followed them. Edward flees and apparently dies by walking into a fire basket. Eve, however, realises that Edward is still alive and at Eel Marsh House. Realising that the Woman in Black wants her alone, she drives to the island, where she finds Edward walking out into the marsh to drown himself where Nathaniel died. She crawls after him, but they are dragged down into the mud by the ghost. At the last minute, Harry arrives and saves them, though he is dragged down to his death instead.
Months later, Eve has adopted Edward, and they are living in London. Although they believe they are free from the ghost, once they leave their house, she appears again and smashes a picture of Harry and his crew."
2005,Rent,American,Chris Columbus,"Anthony Rapp, Adam Pascal, Rosario Dawson",musical,https://en.wikipedia.org/wiki/Rent_(film),"On Christmas Eve 1989, aspiring filmmaker Mark Cohen, and his roommate, Roger Davis, learn that the rent previously waived by their old friend and landlord, Benjamin ""Benny"" Coffin III, is due (""Rent""). Their former roommate Tom Collins shows up and gets mugged. Mark and Roger meet with Benny, who tells them he plans to evict the homeless from the nearby lot and build a cyber studio (""You'll See""). He offers them free rent if they get Maureen, Mark's ex-girlfriend, to cancel her protest against his plans, but they refuse.
A street drummer, Angel, finds Collins and they bond since they have AIDS. Roger, who is HIV-positive and a former drug addict, tries to compose his one last great song (""One Song Glory""). He's visited by his downstairs neighbor, Mimi, an exotic dancer and heroin addict (""Light My Candle"").
On Christmas Day, Mark and Roger are visited by Collins and Angel (in drag), bearing gifts (""Today 4 U""). They invite Mark and Roger to attend Life Support, an AIDS support group. Roger turns them down, while Mark goes to fix Maureen's sound equipment. He runs into Joanne, Maureen's new girlfriend, who bonds with him as they discuss Maureen's promiscuity (""Tango: Maureen""). Mark arrives at the Life Support meeting (""Life Support""). He films the meeting for the documentary he's making about people living with HIV/AIDS.
Mimi visits Roger (""Out Tonight""). Roger, whose ex-girlfriend died of HIV/AIDS, rebukes her advances and throws her out (""Another Day""). The next day, he joins Mark, Collins and Angel at a Life Support meeting (""Will I?""). Leaving the meeting, the group imagines what it would be like to move to Santa Fe, New Mexico (""Santa Fe""). Roger and Mark leave to help Maureen set up for her performance, and Angel and Collins reveal they are falling in love (""I'll Cover You""). Maureen performs her song that calls out Benny for changing who he was when he got married and blames him for trying to shut down the tent city (""Over the Moon""). The performance starts a riot because Benny called in police to make sure the protest stayed peaceful, but it escalated into violence. Once the protest is over, the group goes to The Life Cafe and celebrates Mark selling his riot footage to a local news station (""La Vie Boheme"" or ""La Vie Boheme A""). Roger and Mimi reveal they are falling for each other, and reveal they are HIV positive (""I Should Tell You""). They share a kiss and continue celebrating with their friends (""Viva La Vie Boheme!"" or ""La Vie Boheme B"").
On New Years Day, Benny has padlocked the apartment, but Angel breaks the lock with a garbage can. Mark takes a job at Buzzline, the television news program he sold his riot footage to. After another fight, Maureen proposes to Joanne; the relationship ends when Maureen flirts with another woman at the engagement party (""Take Me or Leave Me""). After being persuaded by Mimi, his ex-girlfriend, Benny gives the group back their apartment. Over the following year, Roger grows distrustful of Mimi, and their relationship ends (""Without You""). Angel's condition gets worse and she dies in Collins' arms. At Angel's funeral, the group goes their separate ways after a bitter argument (""I'll Cover You/Goodbye Love"").
Roger sells his guitar, buys a car, and moves to Santa Fe. He returns because he still loves Mimi. Mark quits his job at Buzzline to pursue his own film (""What You Own""). On Christmas Eve 1990, Mark and Roger reunite with Collins, who reveals he has reprogrammed an ATM to dispense cash when someone inputs the code: A-N-G-E-L. Joanne and Maureen find Mimi on the streets, near death. Mimi and Roger reconcile and he sings the song he has written over the past year (""Finale A/Your Eyes""). Mimi appears to die, but suddenly awakens. She tells them that she was heading to the light, but Angel told her to go back. As Mark's documentary is shown for the first time, the friends reaffirm that there is ""no day but today"" (""Finale B"")."
2011,In Time,American,Andrew Niccol,"Amanda Seyfried, Justin Timberlake, Alex Pettyfer, Cillian Murphy, Olivia Wilde, Matt Bomer, Johnny Galecki, Vincent Kartheiser, Elena Satine","science fiction, thriller",https://en.wikipedia.org/wiki/In_Time_(film),"In 2169, people are genetically engineered to stop aging on their 25th birthday. Everyone then develops a countdown on their forearm set for a year. When the clock reaches zero, that person ""times out"", or dies. Time has thus become the universal currency, and can be transferred between people or within ""time capsules"". Two major areas exist within Los Angeles: Dayton, a poor manufacturing area, and New Greenwich, where people have enough time to essentially be immortal.
Will Salas is a Dayton factory worker living with his mother Rachel. He rescues a drunken man named Henry Hamilton from an attempted robbery by a gang of time-robbing thugs led by Fortis. Hamilton reveals to Will that the people of New Greenwich hoard most of the time for themselves to live forever, while constantly increasing the cost of living keeps poorer people dying. The next morning, Hamilton transfers 116 years of his time to the sleeping Will, before timing out and falling off a bridge. Raymond Leon, leader of the police-like Timekeepers erroneously assumes that Will played a part in Hamilton's death.
Will visits his best friend Borel. Borel warns him that having so much time within Dayton will get him killed. Will gives Borel ten years in return for their years of friendship before meeting his mother to leave for New Greenwich. Rachel uses all but 90 minutes of her time to pay off a 2-day loan and finds herself short for a bus fare to get home. She urges the bus driver to lend her 30 minutes, but he refuses and advises her to run. She dies in Will's arms before he can lend her time.
In New Greenwich, Will visits a casino and meets time-loaning businessman Philippe Weis and his daughter Sylvia. While playing poker with Weis, Will comes dangerously close to timing out but eventually wins more than a millennium in a flawless gamble. Sylvia, impressed, invites him to a party in the Weis mansion. Will buys a new sports car and drives himself to the party. After a quick dance, down at their private beach Will tempts Sylvia into a nude moonlit dip in the waves (her first brush with danger). Once back indoors, Will is surprised by the Timekeepers, there to arrest him.
Dismissing Will's claim of innocence, Raymond confiscates all but two hours of his time. When asked why he is investigating a suicide, instead the Timekeeper insinuates he knew Will's father. Left with little choice, Will takes Sylvia as a hostage and drives back to Dayton. They are ambushed by Fortis' gang, crash the car and are left with 30 minutes each. Will attempts to get some time back from Borel, but his wife Greta tells him that he has drunk himself to death, blaming Will for the stupidity of his generosity. Sylvia pawns her diamond earrings for extra time, and Will calls Weis to demand a 1,000 year ransom (to be paid into the time-mission for the desperate). When Weis refuses to pay, Will releases Sylvia anyway. She calls Weis from a pay phone, but they are ambushed by Raymond, whom Sylvia shoots in the arm to protect Will. They steal his car, and Will gives Raymond enough time to survive.
Will and Sylvia team up and rob Weis' time banks, giving the extra time capsules to the needy. After a decade reward is offered for their capture, Fortis' gang tracks them down to a hotel room. Fortis challenges Will to a ""time-duel"", which Will wins through a trick used by his father. Will shoots the rest of the gang while they are distracted by Fortis' death. The pair soon realize they cannot steal enough time to significantly change anything, as New Greenwich simply raises prices on Daytoners.
They rob Weis' personal vault and obtain a one-million-years capsule. Raymond chases them back to Dayton but is too late to stop them from distributing the stolen time. After chasing them to the city's outskirts, Raymond reveals that he came from Dayton and intends to stop other Daytoners escaping. He realizes too late that he forgot to collect his daily time allotment and times out. Will and Sylvia, each with just over a minute to live, race to Raymond's patrol car. Will collects Raymond's daily share and runs back to Sylvia in a scene reminiscent of his mother's death. This time, he saves her when her clock only has seconds left.
TV reports show factories in Dayton shutting down as everyone has enough time and abandon their jobs to go to New Greenwich. Will and Sylvia continue robbing banks as part of their efforts to crash the system, while the rich attempt to cope with the sudden surge of people infiltrating their zone."
